Latitude,Longitude,Location
18.9201,72.83003,ELECTRIC HOUSE COLABA DEPOT
18.9201,72.8209,COLABA BUS STATION POST OFFICE
18.9201,72.81243,DHOBI GHAT (NAVY NAGAR)
18.9201,72.83155,DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM)
18.9201,72.83158,DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM)
18.9201,72.8329,DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM)
18.9201,72.83205,DR. SHYAMAPRASAD MUKHERJEE CHOWK(MUSEUM)
18.9201,72.84032,FOREIGN POST OFFICE
18.9201,72.84031,FOREIGN POST OFFICE
18.9201,72.83172,G.T.HOSPITAL
18.9201,72.8366,CHHATRAPATI SHIVAJI MAHARAJ TERMINUS (GPO)
18.9201,72.83178,HUTATMA CHOWK
18.9201,72.83135,HUTATMA CHOWK
18.9201,72.84037,BALLARD PIER
18.9201,72.83242,JOHAR CHOWK (BHENDI BAZAAR)
18.9201,72.83161,JOHAR CHOWK (BHENDI BAZAAR)
18.9201,72.83187,JOHAR CHOWK (BHENDI BAZAAR)
18.9201,72.83187,JOHAR CHOWK (BHENDI BAZAAR)
18.9201,72.83433,KHADI BHANDAR
18.9201,72.83539,MAHATMA PHULE MARKET (CRAWFORD MARKET)
18.9201,72.834,MAHATMA PHULE MARKET (CRAWFORD MARKET)
18.9201,72.84616,RAILWAY CROSSING (MANDVI)
18.9201,72.83288,MANDVI POST OFFICE MINARA MASJID
18.9201,72.83136,HUTATMA CHOWK
18.9201,72.83138,HUTATMA CHOWK
18.9201,72.83487,OLD CUSTOM HOUSE
18.9201,72.81583,PILOT BUNDER
18.9201,72.83622,RESERVE BANK OF INDIA (FORT)
18.9201,72.82624,SASOON DOCK COLABA FIRE STATION
18.9201,72.83413,HORNIMAN CIRCLE
18.9201,72.82709,STRAND CINEMA
18.9201,72.82889,SWADESHI MARKET
18.9201,72.83697,SWAMI DAYANAND SARASWATI CHOWK (FORT)
18.9201,72.83737,SWAMI DAYANAND SARASWATI CHOWK (FORT)
18.9201,72.83932,TADWADI (MAZGAON)
18.9201,72.84728,MALLET BUNDER
18.9201,72.84735,MALLET BUNDER
18.9201,72.83037,VASUDEO BALWANT PHADKE CHOWK (DHOBI TALAO)
18.9201,72.83012,VASUDEO BALWANT PHADKE CHOWK (DHOBI TALAO)
18.9201,72.83807,SWAMI DAYANAND SARASWATI CHOWK (FORT)
18.9201,72.83212,VIJAY VALLABH CHOWK (PYDHONIE)
18.9201,72.83217,VIJAY VALLABH CHOWK (PYDHONIE)
18.9201,72.83424,ZAKERIA MASJID
18.9201,72.81392,R.C.CHURCH (COLABA)
18.9201,72.81174,M.T.PARK
18.9201,72.84025,FIRE BRIGADE
18.9201,72.83292,ZAKERIA MASJID
18.9201,72.83852,CHINCH BUNDER
18.9201,72.84671,MAZGAON DOCK
18.9201,72.83415,KHADI BHANDAR
18.9201,72.8347,CHHATRAPATI SHIVAJI MAHARAJ TERMINUS
18.9201,72.81468,INS ASHWINI HOSPITAL
18.9201,72.84027,BALLARD PIER
18.9201,72.83535,CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT)
18.9201,72.83552,CHHATRAPATI SHIVAJI MAHARAJ TERMINUS(CSMT)
